"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\one_of_simple.dwg",Conversion to SVG,0.048,5160 Kb
"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\one_of_simple.dwg",Conversion to SVG,0.046,5148 Kb
"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\one_of_simple.dwg",Conversion to SVG,0.045,4848 Kb
"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\one_of_simple.dwg",Conversion to SVG,0.05,5168 Kb
"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\one_of_simple.dwg",Conversion to SVG,0.044,5128 Kb
"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\one_of_simple.dwg",Conversion to SVG,0.045,5028 Kb
"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\one_of_simple.dwg",Conversion to SVG,0.05,4900 Kb
"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\one_of_simple.dwg",Conversion to SVG,0.054,4800 Kb
"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\one_of_simple.dwg",Conversion to SVG,0.059,4904 Kb
"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\one_of_simple.dwg",Conversion to SVG,0.048,4944 Kb
"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\one_of_simple.dwg",Conversion to SVG,0.043,5144 Kb
"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\one_of_simple.dwg",Conversion to SVG,0.045,4948 Kb
"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\one_of_simple.dwg",Conversion to SVG,0.062,5048 Kb
"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\one_of_simple.dwg",Conversion to SVG,0.046,4928 Kb
"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\one_of_simple.dwg",Conversion to SVG,0.056,4940 Kb
"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\one_of_simple.dwg",Conversion to SVG,0.044,4916 Kb
"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\one_of_simple.dwg",Conversion to SVG,0.158,4984 Kb
"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\hq17_.dwg",Conversion to SVG,0.186,7536 Kb
"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\hq17_.dwg",Conversion to SVG,0.203,6772 Kb
"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\one_of_simple.dwg",Conversion to SVG,0.062,5088 Kb
"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\one_of_simple.dwg",Conversion to SVG,0.071,4876 Kb
"C:\nodejs\cadviewer-conversion-server\\converters\files\Fdad56b508d7cba9865578ef7b169f15d6ad828ec.dwg",Conversion to SVG,0.064,4860 Kb
"C:\nodejs\cadviewer-conversion-server\\converters\files\Fdad56b508d7cba9865578ef7b169f15d6ad828ec.dwg",Conversion to SVG,0.09,4848 Kb
"C:\nodejs\cadviewer-conversion-server\\converters\files\Fdad56b508d7cba9865578ef7b169f15d6ad828ec.dwg",Conversion to SVG,0.087,4904 Kb
"C:\nodejs\cadviewer-conversion-server\\converters\files\Fdad56b508d7cba9865578ef7b169f15d6ad828ec.dwg",Conversion to SVG,0.075,4972 Kb
"C:\nodejs\cadviewer-conversion-server\\converters\files\Fa23f1a36795a550c1aa262bd1979e206c6c455e3.dwg",Conversion to SVG,0.051,5104 Kb
"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\one_of_simple.dwg",Conversion to SVG,0.039,5116 Kb
"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\one_of_simple.dwg",Conversion to SVG,0.074,4916 Kb
"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\one_of_simple.dwg",Conversion to SVG,0.102,4908 Kb
"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\one_of_simple.dwg",Conversion to SVG,0.064,5036 Kb
"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\one_of_simple.dwg",Conversion to SVG,0.049,4956 Kb
"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\one_of_simple.dwg",Conversion to SVG,0.066,5200 Kb
"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\one_of_simple.dwg",Conversion to SVG,0.237,5156 Kb
"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\one_of_simple.dwg",Conversion to SVG,0.079,5052 Kb
"C:\nodejs\cadviewer-conversion-server\\converters\files\F05c03598983c08b53e4dfe6459e14294e8fbcd4c.dwg",Conversion to SVG,0.086,5200 Kb
"C:\nodejs\cadviewer-conversion-server\\converters\files\F53a84ff7a0199e7493a3e0df3e631750fc222e7d.dwg",Conversion to SVG,0.071,4884 Kb
"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\one_of_simple.dwg",Conversion to SVG,0.059,5108 Kb
"C:\nodejs\cadviewer-conversion-server\\converters\files\F1673f421590e28aebdc4a5c12ef4bbec7830bac0.dwg",Conversion to SVG,0.062,4900 Kb
"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\one_of_simple.dwg",Conversion to SVG,0.063,5048 Kb
"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\one_of_simple.dwg",Conversion to SVG,0.066,5240 Kb
"C:\nodejs\cadviewer-conversion-server\\converters\files\F4e681d12d36f98e7f1b6b0de63417662133a0189.dwg",Conversion to SVG,0.076,5028 Kb
"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\one_of_simple.dwg",Conversion to SVG,0.07,5020 Kb
"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\one_of_simple.dwg",Conversion to SVG,0.054,5000 Kb
"C:\nodejs\cadviewer-conversion-server\\converters\files\F8f404e4a99834edd27dc3fdcc64cc6605f145b3f.dwg",Conversion to SVG,0.06,4768 Kb
"C:\nodejs\cadviewer-conversion-server\\\content\drawings\dwg\one_of_simple.dwg",Conversion to SVG,0.047,4940 Kb
"C:\nodejs\cadviewer-conversion-server\\converters\files\F62d246bf762c028edfe2850fa1667e3b906cede8.dwg",Conversion to SVG,0.06,5124 Kb
"C:\nodejs\cadviewer-conversion-server\\converters\files\F95baff09d8d98b16d2dc6f678483ada42dffbf0b.dwg",Conversion to SVG,0.098,4876 Kb
"C:\nodejs\cadviewer-conversion-server\\converters\files\Fc114f5e8b0275b8cc38c241f47508cecff9ec447.dwg",Conversion to SVG,0.071,4876 Kb
"C:\nodejs\cadviewer-conversion-server\\converters\files\Fa547b436e88b3a623659370bbdfe3497927a8403.dwg",Conversion to SVG,0.052,5132 Kb
"C:\nodejs\cadviewer-conversion-server\\converters\files\Fb22bfff59da378a7a6d318042035f07860c4d502.dwg",Conversion to SVG,0.056,5092 Kb
"C:\nodejs\cadviewer-conversion-server\\converters\files\F610fc5e184f66a0c4084cbede33d6bc1767fdd0d.dwg",Conversion to SVG,0.06,5068 Kb
"C:\nodejs\cadviewer-conversion-server\\converters\files\F186041fb07975daa73b299ec38d5bef70f4c8a0d.dwf",Conversion to SVG,0.436,6464 Kb
"C:\nodejs\cadviewer-conversion-server\\converters\files\Fc11175936668b16a2560c5aaeba7900af3a9ff63.dwg",Conversion to SVG,0.067,5100 Kb
"C:\nodejs\cadviewer-conversion-server\\converters\files\F88e66995e5f9486dd5454b228b2bdd4ea8f7e087.dwg",Conversion to SVG,0.063,5152 Kb
