"\reactjs\cadviewer-conversion-server-nextgen\content\custom\BPRetail\Regression Testing\4214-LP2.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\Ffcb60c5464ec5e8c632b7c95ec7b21cf1bd17776.svg",Conversion to SVG,1.565,24224 Kb
"\reactjs\cadviewer-conversion-server-nextgen\content\custom\BPRetail\Regression Testing\4310-SP1.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F0fcf86494618a9d3ee3d36b0b4462d2bf12524f7.svg",Conversion to SVG,1.355,16000 Kb
"\reactjs\cadviewer-conversion-server-nextgen\content\custom\BPRetail\Regression Testing\4386-SP1.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F00969610705b6c83bd145a484de6c5a2f9f25f7e.svg",Conversion to SVG,43.949,69968 Kb
"\reactjs\cadviewer-conversion-server-nextgen\content\custom\BPRetail\Regression Testing\3442-LP2.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\Fb80327fd7a9ef8a7f01aa865e4f804a1a2b4fce2.svg",Conversion to SVG,3.217,33220 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\Fa1fba6dc60426b176df82c20a1a9d13faaeacbcf.svg",Conversion to SVG,0.084,5260 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F44c3698a5e092bdee52d43409e0745e064cd421f.svg",Conversion to SVG,0.07,5352 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\Fb3b1f9f2742a9e9e03067b6ecefad50503ddfe60.svg",Conversion to SVG,0.062,5304 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F173d0851a9bc5824ae62fc305ba88928a9f1fe75.svg",Conversion to SVG,0.086,5248 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\Feabc51789fc2f7f0b7e20cddabd2eee46bddac2a.svg",Conversion to SVG,0.05,5264 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F91a906902e8876d4340e5447eb9c76e74b23139f.svg",Conversion to SVG,0.107,5384 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F3125702659e4233721f394db796ede74e64c04a6.svg",Conversion to SVG,0.05,5256 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\Fe2b287b8094accb97977e6685e89cb9c1b7580a1.svg",Conversion to SVG,0.064,5376 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\Fd493b0990969993d7a70e03ec7d734514afc5e90.svg",Conversion to SVG,0.065,5328 Kb
"\reactjs\cadviewer-conversion-server-nextgen\content\custom\hld.com\Mostown - PHASE 4 - L2 - 20240920 EDITED.DWG","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F45e94c82723736079c2b1972ed20f0de2273ed3f.svg",Conversion to SVG,2.323,14612 Kb
"\reactjs\cadviewer-conversion-server-nextgen\content\custom\hld.com\Mostown - PHASE 4 - L2 - 20240920 EDITED.DWG","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\Fd89b9c6a42463181add1cebb22f9fa38310b7c29.svg",Conversion to SVG,2.219,13228 Kb
